================ Training Loss (Sun Nov 29 15:00:22 2020) ================
(epoch: 30, iters: 13340, time: 0.083, data: 0.157) D_A: 0.146 G_A: 0.653 cycle_A: 0.279 idt_A: 0.166 D_B: 0.142 G_B: 0.208 cycle_B: 0.362 idt_B: 0.179 
(epoch: 31, iters: 14674, time: 0.093, data: 0.176) D_A: 0.136 G_A: 0.392 cycle_A: 0.504 idt_A: 0.316 D_B: 0.232 G_B: 0.196 cycle_B: 0.693 idt_B: 0.251 
(epoch: 32, iters: 16008, time: 0.086, data: 0.161) D_A: 0.302 G_A: 0.438 cycle_A: 1.036 idt_A: 0.235 D_B: 0.205 G_B: 0.321 cycle_B: 0.586 idt_B: 0.455 
(epoch: 33, iters: 17342, time: 0.086, data: 0.175) D_A: 0.109 G_A: 0.418 cycle_A: 0.765 idt_A: 0.176 D_B: 0.147 G_B: 0.641 cycle_B: 0.501 idt_B: 0.467 
(epoch: 34, iters: 18676, time: 0.085, data: 0.174) D_A: 0.038 G_A: 0.601 cycle_A: 0.799 idt_A: 0.640 D_B: 0.234 G_B: 0.239 cycle_B: 1.372 idt_B: 0.312 
(epoch: 35, iters: 20010, time: 0.087, data: 0.161) D_A: 0.136 G_A: 0.386 cycle_A: 0.535 idt_A: 0.289 D_B: 0.184 G_B: 0.412 cycle_B: 0.720 idt_B: 0.279 
(epoch: 36, iters: 21344, time: 0.087, data: 0.185) D_A: 0.381 G_A: 0.207 cycle_A: 0.842 idt_A: 0.281 D_B: 0.326 G_B: 0.319 cycle_B: 0.422 idt_B: 0.255 
(epoch: 37, iters: 22678, time: 0.085, data: 0.180) D_A: 0.297 G_A: 0.458 cycle_A: 0.540 idt_A: 0.311 D_B: 0.169 G_B: 0.189 cycle_B: 0.650 idt_B: 0.184 
(epoch: 38, iters: 24012, time: 0.088, data: 0.175) D_A: 0.224 G_A: 0.679 cycle_A: 0.637 idt_A: 0.374 D_B: 0.107 G_B: 0.372 cycle_B: 0.876 idt_B: 0.175 
(epoch: 39, iters: 25346, time: 0.092, data: 0.174) D_A: 0.121 G_A: 0.435 cycle_A: 0.386 idt_A: 1.601 D_B: 0.157 G_B: 0.168 cycle_B: 2.584 idt_B: 0.201 
(epoch: 40, iters: 26680, time: 0.088, data: 0.167) D_A: 0.054 G_A: 0.525 cycle_A: 0.722 idt_A: 0.222 D_B: 0.169 G_B: 0.231 cycle_B: 0.486 idt_B: 0.309 
================ Training Loss (Sun Nov 29 16:34:33 2020) ================
================ Training Loss (Sun Nov 29 16:37:28 2020) ================
================ Training Loss (Sun Nov 29 16:38:09 2020) ================
(epoch: 41, iters: 1334, time: 0.083, data: 0.199) D_A: 0.027 G_A: 0.403 cycle_A: 0.537 idt_A: 0.191 D_B: 0.171 G_B: 0.603 cycle_B: 0.480 idt_B: 0.297 
(epoch: 42, iters: 2668, time: 0.089, data: 0.172) D_A: 0.343 G_A: 0.187 cycle_A: 0.647 idt_A: 0.473 D_B: 0.293 G_B: 0.267 cycle_B: 0.817 idt_B: 0.216 
(epoch: 43, iters: 4002, time: 0.084, data: 0.169) D_A: 0.334 G_A: 0.062 cycle_A: 0.701 idt_A: 0.202 D_B: 0.198 G_B: 0.315 cycle_B: 0.699 idt_B: 0.221 
(epoch: 44, iters: 5336, time: 0.084, data: 0.153) D_A: 0.170 G_A: 0.340 cycle_A: 0.618 idt_A: 0.236 D_B: 0.215 G_B: 0.197 cycle_B: 0.811 idt_B: 0.381 
(epoch: 45, iters: 6670, time: 0.082, data: 0.173) D_A: 0.164 G_A: 0.583 cycle_A: 0.450 idt_A: 0.209 D_B: 0.157 G_B: 0.332 cycle_B: 0.476 idt_B: 0.170 
(epoch: 46, iters: 8004, time: 0.082, data: 0.166) D_A: 0.224 G_A: 0.209 cycle_A: 0.433 idt_A: 0.454 D_B: 0.173 G_B: 0.348 cycle_B: 0.957 idt_B: 0.195 
(epoch: 47, iters: 9338, time: 0.087, data: 0.167) D_A: 0.211 G_A: 0.657 cycle_A: 1.024 idt_A: 0.367 D_B: 0.112 G_B: 0.358 cycle_B: 0.879 idt_B: 0.445 
(epoch: 48, iters: 10672, time: 0.092, data: 0.155) D_A: 0.046 G_A: 0.611 cycle_A: 0.599 idt_A: 0.319 D_B: 0.226 G_B: 0.282 cycle_B: 0.734 idt_B: 0.176 
(epoch: 49, iters: 12006, time: 0.086, data: 0.159) D_A: 0.254 G_A: 0.241 cycle_A: 0.976 idt_A: 0.224 D_B: 0.307 G_B: 0.128 cycle_B: 0.544 idt_B: 0.502 
(epoch: 50, iters: 13340, time: 0.084, data: 0.171) D_A: 0.327 G_A: 0.608 cycle_A: 0.784 idt_A: 0.546 D_B: 0.314 G_B: 0.285 cycle_B: 1.058 idt_B: 0.441 
(epoch: 51, iters: 14674, time: 0.090, data: 0.165) D_A: 0.225 G_A: 0.607 cycle_A: 3.538 idt_A: 0.401 D_B: 0.060 G_B: 0.266 cycle_B: 1.009 idt_B: 1.789 
(epoch: 52, iters: 16008, time: 0.089, data: 0.149) D_A: 0.235 G_A: 0.455 cycle_A: 0.743 idt_A: 0.274 D_B: 0.167 G_B: 0.491 cycle_B: 0.759 idt_B: 0.347 
(epoch: 53, iters: 17342, time: 0.084, data: 0.163) D_A: 0.133 G_A: 0.511 cycle_A: 1.019 idt_A: 0.426 D_B: 0.083 G_B: 0.538 cycle_B: 0.949 idt_B: 0.458 
(epoch: 54, iters: 18676, time: 0.086, data: 0.173) D_A: 0.099 G_A: 0.196 cycle_A: 0.585 idt_A: 0.254 D_B: 0.085 G_B: 0.146 cycle_B: 0.599 idt_B: 0.281 
(epoch: 55, iters: 20010, time: 0.089, data: 0.172) D_A: 0.227 G_A: 0.230 cycle_A: 1.499 idt_A: 0.441 D_B: 0.152 G_B: 0.264 cycle_B: 0.757 idt_B: 0.939 
(epoch: 56, iters: 21344, time: 0.087, data: 0.169) D_A: 0.032 G_A: 0.369 cycle_A: 0.749 idt_A: 0.373 D_B: 0.075 G_B: 0.420 cycle_B: 0.926 idt_B: 0.316 
(epoch: 57, iters: 22678, time: 0.089, data: 0.171) D_A: 0.062 G_A: 0.373 cycle_A: 0.888 idt_A: 0.733 D_B: 0.171 G_B: 0.403 cycle_B: 1.397 idt_B: 0.511 
(epoch: 58, iters: 24012, time: 0.090, data: 0.165) D_A: 0.078 G_A: 0.052 cycle_A: 1.926 idt_A: 0.400 D_B: 0.344 G_B: 0.351 cycle_B: 0.874 idt_B: 0.720 
(epoch: 59, iters: 25346, time: 0.085, data: 0.182) D_A: 0.162 G_A: 0.360 cycle_A: 0.779 idt_A: 0.455 D_B: 0.338 G_B: 0.081 cycle_B: 1.016 idt_B: 0.273 
(epoch: 60, iters: 26680, time: 0.089, data: 0.168) D_A: 0.081 G_A: 0.308 cycle_A: 1.297 idt_A: 0.281 D_B: 0.273 G_B: 0.420 cycle_B: 0.758 idt_B: 0.495 
(epoch: 61, iters: 28014, time: 0.085, data: 0.175) D_A: 0.126 G_A: 0.138 cycle_A: 5.632 idt_A: 0.339 D_B: 0.378 G_B: 0.221 cycle_B: 0.972 idt_B: 2.833 
