================ Training Loss (Sun Nov 29 23:10:38 2020) ================
(epoch: 30, iters: 40020, time: 0.087, data: 0.156) D_A: 0.165 G_A: 0.356 cycle_A: 1.152 idt_A: 1.091 D_B: 0.205 G_B: 0.268 cycle_B: 1.685 idt_B: 0.471 
(epoch: 31, iters: 41354, time: 0.087, data: 0.167) D_A: 0.106 G_A: 0.346 cycle_A: 1.206 idt_A: 0.859 D_B: 0.389 G_B: 0.210 cycle_B: 1.992 idt_B: 0.638 
(epoch: 32, iters: 42688, time: 0.089, data: 0.166) D_A: 0.079 G_A: 0.443 cycle_A: 1.031 idt_A: 0.598 D_B: 0.305 G_B: 0.665 cycle_B: 1.049 idt_B: 0.586 
(epoch: 33, iters: 44022, time: 0.086, data: 0.178) D_A: 0.050 G_A: 0.762 cycle_A: 1.273 idt_A: 0.559 D_B: 0.176 G_B: 0.494 cycle_B: 1.249 idt_B: 0.517 
(epoch: 34, iters: 45356, time: 0.089, data: 0.169) D_A: 0.389 G_A: 0.107 cycle_A: 1.242 idt_A: 0.356 D_B: 0.175 G_B: 1.052 cycle_B: 0.972 idt_B: 0.496 
(epoch: 35, iters: 46690, time: 0.090, data: 0.156) D_A: 0.121 G_A: 0.531 cycle_A: 1.338 idt_A: 0.639 D_B: 0.371 G_B: 0.151 cycle_B: 1.488 idt_B: 0.561 
(epoch: 36, iters: 48024, time: 0.088, data: 0.173) D_A: 0.212 G_A: 1.063 cycle_A: 1.848 idt_A: 0.571 D_B: 0.338 G_B: 0.032 cycle_B: 1.471 idt_B: 0.736 
(epoch: 37, iters: 49358, time: 0.088, data: 0.174) D_A: 0.163 G_A: 0.292 cycle_A: 1.033 idt_A: 0.440 D_B: 0.296 G_B: 0.869 cycle_B: 0.822 idt_B: 0.490 
(epoch: 38, iters: 50692, time: 0.094, data: 0.189) D_A: 0.124 G_A: 0.270 cycle_A: 1.630 idt_A: 0.893 D_B: 0.120 G_B: 0.201 cycle_B: 1.800 idt_B: 0.709 
(epoch: 39, iters: 52026, time: 0.086, data: 0.170) D_A: 0.088 G_A: 0.331 cycle_A: 1.817 idt_A: 0.626 D_B: 0.201 G_B: 0.106 cycle_B: 1.461 idt_B: 0.585 
(epoch: 40, iters: 53360, time: 0.087, data: 0.166) D_A: 0.059 G_A: 0.482 cycle_A: 1.791 idt_A: 0.399 D_B: 0.196 G_B: 0.238 cycle_B: 0.916 idt_B: 0.681 
(epoch: 41, iters: 54694, time: 0.088, data: 0.203) D_A: 0.020 G_A: 0.727 cycle_A: 3.977 idt_A: 0.617 D_B: 0.073 G_B: 0.544 cycle_B: 1.396 idt_B: 2.423 
(epoch: 42, iters: 56028, time: 0.090, data: 0.191) D_A: 0.078 G_A: 1.066 cycle_A: 1.093 idt_A: 0.426 D_B: 0.078 G_B: 0.267 cycle_B: 1.005 idt_B: 0.416 
(epoch: 43, iters: 57362, time: 0.088, data: 0.167) D_A: 0.059 G_A: 0.757 cycle_A: 1.323 idt_A: 0.429 D_B: 0.089 G_B: 0.568 cycle_B: 1.323 idt_B: 0.585 
(epoch: 44, iters: 58696, time: 0.087, data: 0.159) D_A: 0.052 G_A: 0.554 cycle_A: 0.891 idt_A: 0.511 D_B: 0.251 G_B: 0.405 cycle_B: 1.363 idt_B: 0.505 
(epoch: 45, iters: 60030, time: 0.086, data: 0.160) D_A: 0.085 G_A: 0.188 cycle_A: 1.402 idt_A: 0.412 D_B: 0.161 G_B: 0.398 cycle_B: 1.049 idt_B: 0.526 
(epoch: 46, iters: 61364, time: 0.090, data: 0.148) D_A: 0.467 G_A: 0.367 cycle_A: 0.784 idt_A: 0.507 D_B: 0.255 G_B: 0.282 cycle_B: 1.331 idt_B: 0.346 
(epoch: 47, iters: 62698, time: 0.089, data: 0.165) D_A: 0.029 G_A: 0.788 cycle_A: 1.483 idt_A: 1.089 D_B: 0.056 G_B: 0.620 cycle_B: 1.758 idt_B: 0.715 
(epoch: 48, iters: 64032, time: 0.090, data: 0.161) D_A: 0.277 G_A: 0.655 cycle_A: 1.390 idt_A: 0.717 D_B: 0.236 G_B: 0.229 cycle_B: 1.380 idt_B: 0.687 
(epoch: 49, iters: 65366, time: 0.089, data: 0.187) D_A: 0.021 G_A: 0.446 cycle_A: 1.691 idt_A: 0.385 D_B: 0.079 G_B: 1.043 cycle_B: 1.124 idt_B: 0.344 
(epoch: 50, iters: 66700, time: 0.091, data: 0.205) D_A: 0.237 G_A: 0.147 cycle_A: 1.513 idt_A: 0.533 D_B: 0.222 G_B: 0.290 cycle_B: 1.204 idt_B: 0.821 
================ Training Loss (Mon Nov 30 01:12:30 2020) ================
(epoch: 51, iters: 1334, time: 0.088, data: 0.165) D_A: 0.025 G_A: 0.820 cycle_A: 1.358 idt_A: 0.757 D_B: 0.120 G_B: 0.770 cycle_B: 1.594 idt_B: 0.649 
(epoch: 52, iters: 2668, time: 0.083, data: 0.148) D_A: 0.258 G_A: 0.555 cycle_A: 2.110 idt_A: 0.842 D_B: 0.175 G_B: 0.473 cycle_B: 1.395 idt_B: 0.856 
(epoch: 53, iters: 4002, time: 0.085, data: 0.142) D_A: 0.350 G_A: 0.617 cycle_A: 1.051 idt_A: 0.705 D_B: 0.333 G_B: 0.155 cycle_B: 1.144 idt_B: 0.583 
(epoch: 54, iters: 5336, time: 0.092, data: 0.178) D_A: 0.016 G_A: 0.869 cycle_A: 3.457 idt_A: 0.541 D_B: 0.053 G_B: 0.650 cycle_B: 1.289 idt_B: 2.362 
(epoch: 55, iters: 6670, time: 0.082, data: 0.189) D_A: 0.241 G_A: 0.405 cycle_A: 1.690 idt_A: 0.585 D_B: 0.161 G_B: 0.351 cycle_B: 1.566 idt_B: 0.575 
(epoch: 56, iters: 8004, time: 0.085, data: 0.159) D_A: 0.025 G_A: 0.798 cycle_A: 0.976 idt_A: 0.463 D_B: 0.151 G_B: 0.625 cycle_B: 1.293 idt_B: 0.442 
(epoch: 57, iters: 9338, time: 0.092, data: 0.178) D_A: 0.146 G_A: 0.262 cycle_A: 2.594 idt_A: 0.629 D_B: 0.148 G_B: 0.436 cycle_B: 1.860 idt_B: 0.605 
(epoch: 58, iters: 10672, time: 0.087, data: 0.167) D_A: 0.033 G_A: 0.364 cycle_A: 0.944 idt_A: 0.654 D_B: 0.235 G_B: 0.313 cycle_B: 1.251 idt_B: 0.322 
(epoch: 59, iters: 12006, time: 0.086, data: 0.162) D_A: 0.235 G_A: 0.761 cycle_A: 0.808 idt_A: 0.484 D_B: 0.184 G_B: 0.196 cycle_B: 0.833 idt_B: 0.418 
(epoch: 60, iters: 13340, time: 0.088, data: 0.162) D_A: 0.263 G_A: 0.645 cycle_A: 1.051 idt_A: 0.624 D_B: 0.354 G_B: 0.130 cycle_B: 1.283 idt_B: 0.534 
(epoch: 61, iters: 14674, time: 0.090, data: 0.209) D_A: 0.402 G_A: 1.047 cycle_A: 1.699 idt_A: 0.392 D_B: 0.128 G_B: 0.398 cycle_B: 1.066 idt_B: 0.542 
(epoch: 62, iters: 16008, time: 0.088, data: 0.199) D_A: 0.016 G_A: 0.719 cycle_A: 0.987 idt_A: 0.438 D_B: 0.219 G_B: 0.810 cycle_B: 1.168 idt_B: 0.348 
(epoch: 63, iters: 17342, time: 0.086, data: 0.184) D_A: 0.071 G_A: 1.020 cycle_A: 1.209 idt_A: 0.794 D_B: 0.245 G_B: 0.513 cycle_B: 1.785 idt_B: 0.563 
(epoch: 64, iters: 18676, time: 0.086, data: 0.171) D_A: 0.067 G_A: 0.140 cycle_A: 1.334 idt_A: 0.424 D_B: 0.059 G_B: 0.626 cycle_B: 1.178 idt_B: 0.608 
(epoch: 65, iters: 20010, time: 0.087, data: 0.199) D_A: 0.119 G_A: 0.437 cycle_A: 2.020 idt_A: 0.890 D_B: 0.172 G_B: 0.703 cycle_B: 1.760 idt_B: 0.966 
(epoch: 66, iters: 21344, time: 0.086, data: 0.169) D_A: 0.162 G_A: 0.657 cycle_A: 2.332 idt_A: 0.391 D_B: 0.099 G_B: 0.557 cycle_B: 0.829 idt_B: 0.999 
(epoch: 67, iters: 22678, time: 0.087, data: 0.171) D_A: 0.028 G_A: 0.927 cycle_A: 1.183 idt_A: 0.416 D_B: 0.091 G_B: 0.663 cycle_B: 1.039 idt_B: 0.865 
(epoch: 68, iters: 24012, time: 0.088, data: 0.198) D_A: 0.281 G_A: 0.396 cycle_A: 1.003 idt_A: 0.338 D_B: 0.481 G_B: 0.068 cycle_B: 0.892 idt_B: 0.548 
(epoch: 69, iters: 25346, time: 0.090, data: 0.176) D_A: 0.073 G_A: 0.280 cycle_A: 1.388 idt_A: 0.387 D_B: 0.204 G_B: 0.787 cycle_B: 0.864 idt_B: 0.721 
(epoch: 70, iters: 26680, time: 0.090, data: 0.190) D_A: 0.074 G_A: 0.509 cycle_A: 0.815 idt_A: 0.847 D_B: 0.226 G_B: 0.129 cycle_B: 1.588 idt_B: 0.278 
